"","var","mean","percentile_2.5","percentile_97.5"
"1","AMT",41.9454662385352,41.3374138232201,42.4749102337056
"2","WindstormIntensity",19.6888489068654,18.976724798573,20.266870766933
"3","FormalCroplandFraction",14.210400122512,13.8857044034967,14.5475375968319
"4","ForestManagementIntensity",7.48411642250248,7.03390071427531,7.91384967642115
"5","WildfireIntensity",5.09681533580318,4.72978833819161,5.51752382031906
"6","ProtectionAreaFraction",2.32245623637244,2.00944025500783,2.62941306595186
"7","DEM",2.17162425539797,1.8247854385763,2.53128401472797
"8","ATP",1.90340081620671,1.62771374681483,2.27000525130523
"9","DePOPfraction",1.76624392482172,1.38342396507035,2.15953124523793
"10","DroughtIntensity",1.36565136100707,1.16602527298641,1.61927459950821
"11","Slope",1.09116586482981,0.926002639628344,1.29609583106333
"12","Accessibility2City",0.95381051514605,0.776194367205708,1.12168324793842
