"","var","mean","percentile_2.5","percentile_97.5"
"1","Accessibility2City",37.5074177671222,36.8654421566379,38.0421553470767
"2","AMT",21.2498502683727,20.5199682107136,21.891940115257
"3","DEM",11.4711737172517,11.0922989412863,11.9595203253222
"4","WindstormIntensity",8.48655989873131,8.19650231737985,8.84482837557976
"5","DroughtIntensity",6.20419108089873,6.10095792985143,6.35810214183767
"6","ATP",6.03072594506255,5.49875121214561,6.50540444626393
"7","Slope",3.20440518251409,3.06046411635901,3.33848667508578
"8","FormalCroplandFraction",1.80035115146759,1.64652585304144,2.01915785783923
"9","ForestManagementIntensity",1.60824277032805,1.50481560774612,1.71027023307909
"10","DePOPfraction",1.25121895536674,1.08557457833412,1.41739088822603
"11","WildfireIntensity",1.18124384277694,1.04293127442036,1.30838799187192
"12","ProtectionAreaFraction",0.00461942010747415,0,0.0183660220915042
