,Code,FCI_trend_mean,FCI_trend_sum,FC_trend_mean,FC_trend_sum,FHI_trend_mean,FHI_trend_sum,AMT,ATP,system.index,DroughtFrequency,DroughtIntensity,Lat,Lon,WildfireIntensity,Windspeed,WindstormIntensity,HumanFootprint,FAarea,PA,Population,RoadDensity,DEM,Slope,Accessibility2City,HMI,SOC,SPH,SWC,FMI,DePOP,DePOPfraction,PopulationDecrease
1,0,0.000494667,0.001978667,-0.011462529,-0.022925058,NA,0,NA,NA,0,NA,NA,35.4439,12.6114,0,,0,NA,0,2.722719879,2071.0788,4327.422644,49.13879982,NA,428.1333333,0.510716273,1.103448276,69.59151194,24.02387268,NA,197.7983593,0.76806429,48.24059209
2,1,NA,0,NA,0,NA,0,NA,NA,1,30.03463745,1.420982571,35.1058,-2.38311,0,17.34397368,0,NA,0,0.087816698,12.62658778,199.9983673,16.84271759,NA,20.68614389,0.569440603,1.194132097,78.60515151,23.51048518,NA,5617.334651,1.565446292,-6148.588929
3,2,-0.000783749,-0.009404993,0.019396782,0.23276138,-0.000469867,-0.004228804,NA,NA,2,NA,NA,35.8906,12.9019,0,,0,NA,0,0.816581701,312.9921125,NA,31.14973247,NA,427.1428571,0.442181346,1.043010753,65.20430108,25.48387097,NA,12.83956749,0.182465997,-0.60923507
4,3,-1.58E-05,-0.000189226,0.001416452,0.01699742,0.001191542,0.003574626,NA,NA,3,NA,NA,34.8671,24.0357,0,,0,13.49913339,0.106112949,5.485984397,100.7471162,0,127.2604735,NA,152.6122449,0.134496901,4.16481775,74.53248811,31.98573693,NA,28.92811309,0.06943065,-4.210836742
5,4,NA,0,NA,0,NA,0,NA,NA,4,26.08865738,1.484091163,35.1379,-3.76783,0,20.03042382,0,24.94565487,0,0,2.480639357,81.67232101,0.551631763,NA,26.60587569,0.412564416,1.657366142,76.57720866,27.40490737,NA,22512.95097,3.823833335,-1708.758943
6,5,NA,0,NA,0,NA,0,291.3860756,365.3672003,5,26.32333755,1.438194513,35.2556,-2.96061,0,21.45828365,0,42.89578056,0,2.125455152,50707.16204,84.42088761,40.62234041,NA,11.03266896,0.57549231,1.484538674,76.0407987,27.43634879,NA,925.9756651,0.749990071,-101355.2139
7,6,-0.000528007,-0.01626468,0.017294703,0.532744673,0.003568689,0.042726303,290.5798006,543.772914,6,NA,NA,35.1717,23.5413,0,24.0268939,0,15.66290837,0.046929244,1.899555945,882.5478966,528.8706504,178.5492328,NA,43.22040124,0.332718619,2.010361706,72.2419651,31.20851298,3,55.59272162,0.598630141,-138.470379
8,7,-0.000121175,-0.003423774,0.003731552,0.085474483,0.004999966,0.092960145,288.7950287,688.5525517,7,13.79400253,1.507125854,35.1316,23.8101,0,23.1075814,0,16.0376301,0.123804817,2.610209447,504.2937117,532.9483532,235.3541503,NA,43.74313971,0.195017534,1.766072041,71.5096741,30.99719554,2,0.708108979,0.044219784,-26.62606863
9,8,3.99E-05,0.000202175,0.003455052,0.017505596,0.003955334,0.020040357,286.83031,787.7809166,8,13.79400253,1.507125854,35.0906,24.0786,0,,0,12.76967208,0,1.641692481,16.25763654,421.7804682,270.3351907,0,49.58202145,0.214309219,2.805832303,73.62802705,31.59101156,3,3.975143505,0.071744803,1.939748212
10,9,NA,0,NA,0,NA,0,290.389402,549.8631841,9,20.70404243,1.420189977,35.0489,24.3469,0,,0,25.5397892,0,0.01680731,0.933320454,201.0944914,7.824300053,0,NA,0.368466477,2.330769231,70.9025641,33.67692308,NA,0.002063071,0.001279109,0.002063071
11,10,0.000104532,0.000524711,0,0,NA,0,290.7877353,429.0307927,0000000000000000000a,20.70404243,1.420189977,35.0064,24.6149,103.2352941,21.89405835,0,21.13230938,0,0.895550184,2393.365778,702.1940136,163.5005114,0,46.57035819,0.395736718,1.650018662,74.81774285,29.72923681,NA,143.8396037,1.026874487,-185.8705026
12,11,0.000153819,0.011147922,-0.002725226,-0.194784201,-0.000983745,-0.004918723,291.1155343,397.6700308,0000000000000000000b,19.90524357,1.419858341,34.9632,24.8827,136,21.82723687,0,19.72441333,0.011770706,23.16356843,18231.99716,504.8779807,201.416681,0,31.48307562,0.386643571,1.812554539,73.97609288,27.22579029,NA,999.1925009,3.874989576,-1397.408564
13,12,0.000138709,0.005284015,0.004719086,0.175050331,0.000464041,0.001859805,291.1969435,352.2214297,0000000000000000000c,14.45893097,1.483889461,34.9191,25.1502,0,22.45799785,0,15.34876751,0,25.01994107,4377.628208,886.2748778,441.9213913,0,30.59177663,0.362033979,1.921867742,72.80079792,28.97420892,NA,212.1719982,0.584618194,-344.0259568
14,13,2.43E-06,2.16E-05,0.002900548,0.025877438,-0.002206847,-0.007970612,289.0967922,324.7149082,0000000000000000000d,NA,NA,34.8743,25.4174,0.17254902,22.31276766,0,13.81579351,0,1.382339027,172.8576027,2758.301041,128.9651627,0,34.60663038,0.469702905,1.113572067,72.64223496,31.043683,NA,26.61135115,0.188640196,-2.361926183
